gid,terrai_cod,terrai_nom,etnia_nome,municipio_,uf_sigla,superficie,fase_ti,modalidade,reestudo_t,cr,faixa_fron,undadm_cod,undadm_nom,undadm_sig,dominio_un,data_atual,epsg,PROCESSO,NUMERO,ANO,AREA_HA,ID,FASE,ULT_EVENTO,NOME,SUBS,USO,UF,DSProcesso
8,"901",Aldeia Velha,Patax�,Porto Seguro,BA,1997.552599999999984,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL SUL DA BAHIA,N�o,30202001990,COORDENACAO REGIONAL SUL DA BAHIA,CR-SBA,t,,"0",871501/2014,"871501","2014",23.99000000,{4B604FB0-F71B-4748-B09E-43AADDC484B9},AUTORIZAÇÃO DE PESQUISA,178 - AUT PESQ/TAH - NOTIFICAÇÃO ADMINISTRATIVA PGTO DÉBITO PUBL EM 14/01/2016,Marcondes Nogueira Beneficiamentos Ltda Me,AREIA,Construção civil,BA,871.501/2014
8,"901",Aldeia Velha,Patax�,Porto Seguro,BA,1997.552599999999984,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL SUL DA BAHIA,N�o,30202001990,COORDENACAO REGIONAL SUL DA BAHIA,CR-SBA,t,,"0",872416/2012,"872416","2012",48.11000000,{97AD657E-BB79-497E-917D-3BE34F296840},AUTORIZAÇÃO DE PESQUISA,2481 - AUT PESQ/VENCIMENTO ALVARÁ ALTERADO RESOLUÇÃO 76/2021-COVID EM 01/10/2021,Empresa de Navegação Vjb Ltda,AREIA,Construção civil,BA,872.416/2012
8,"901",Aldeia Velha,Patax�,Porto Seguro,BA,1997.552599999999984,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL SUL DA BAHIA,N�o,30202001990,COORDENACAO REGIONAL SUL DA BAHIA,CR-SBA,t,,"0",870631/2017,"870631","2017",996.14000000,{430B272D-8C2C-4532-BEC4-E8CD24F5AABE},AUTORIZAÇÃO DE PESQUISA,225 - AUT PESQ/MULTA APLICADA PUBL EM 18/09/2023,Luciano Araujo Menezes,ARGILA,Industrial,BA,870.631/2017
8,"901",Aldeia Velha,Patax�,Porto Seguro,BA,1997.552599999999984,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL SUL DA BAHIA,N�o,30202001990,COORDENACAO REGIONAL SUL DA BAHIA,CR-SBA,t,,"0",872417/2012,"872417","2012",36.32000000,{73E1EDE7-0099-45B7-8939-38EEB3420533},AUTORIZAÇÃO DE PESQUISA,2481 - AUT PESQ/VENCIMENTO ALVARÁ ALTERADO RESOLUÇÃO 76/2021-COVID EM 01/10/2021,Empresa de Navegação Vjb Ltda,AREIA,Construção civil,BA,872.417/2012
8,"901",Aldeia Velha,Patax�,Porto Seguro,BA,1997.552599999999984,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL SUL DA BAHIA,N�o,30202001990,COORDENACAO REGIONAL SUL DA BAHIA,CR-SBA,t,,"0",871780/2018,"871780","2018",905.86000000,{51F38A5F-67A5-4506-A7B0-99425C792300},AUTORIZAÇÃO DE PESQUISA,794 - AUT PESQ/RELATÓRIO FINAL PESQUISA POSITIVO PROTOC EM 03/01/2025,MOACYR COSTA PEREIRA DE ANDRADE,AREIA,Industrial,BA,871.780/2018
9,"1001",Alto Rio Guam�,"Timbira,Temb�","Santa Luzia do Par�,Paragominas,Nova Esperan�a do Piri�,Garraf�o do Norte",PA,279897.700000000011642,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DO BAIXO TOCANTINS,N�o,30202001906,COORDENACAO REGIONAL DO BAIXO TOCANTINS,CR-BTO,t,12/06/2023,"0",851941/2013,"851941","2013",2887.40000000,{6D4537EE-3986-4CA6-BC3A-149079625815},AUTORIZAÇÃO DE PESQUISA,236 - AUT PESQ/DOCUMENTO DIVERSO PROTOC EM 16/04/2020,Greiphil Minas Ltda,RUTILO,Industrial,PA,851.941/2013
9,"1001",Alto Rio Guam�,"Timbira,Temb�","Santa Luzia do Par�,Paragominas,Nova Esperan�a do Piri�,Garraf�o do Norte",PA,279897.700000000011642,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DO BAIXO TOCANTINS,N�o,30202001906,COORDENACAO REGIONAL DO BAIXO TOCANTINS,CR-BTO,t,12/06/2023,"0",853815/1996,"853815","1996",6035.64000000,{BD8DB970-097F-4747-A777-F376D6157D53},REQUERIMENTO DE PESQUISA,157 - REQ PESQ/DESISTÊNCIA REQUERIMENTO PESQUISA HOMOLOGADA PUBL EM 01/09/2022,MINERACAO SILVANA INDUSTRIA E COMERCIO LTDA,MINÉRIO DE OURO,Demais substâncias,PA,853.815/1996
9,"1001",Alto Rio Guam�,"Timbira,Temb�","Santa Luzia do Par�,Paragominas,Nova Esperan�a do Piri�,Garraf�o do Norte",PA,279897.700000000011642,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DO BAIXO TOCANTINS,N�o,30202001906,COORDENACAO REGIONAL DO BAIXO TOCANTINS,CR-BTO,t,12/06/2023,"0",853814/1996,"853814","1996",568.86000000,{36ED1547-46EE-4A35-9685-5E485EAE917F},AUTORIZAÇÃO DE PESQUISA,294 - AUT PESQ/RENÚNCIA AUTORIZAÇÃO PESQUISA HOMOLOGADA PUBL EM 05/06/2024,MINERACAO SILVANA INDUSTRIA E COMERCIO LTDA,MINÉRIO DE OURO,Demais substâncias,PA,853.814/1996
9,"1001",Alto Rio Guam�,"Timbira,Temb�","Santa Luzia do Par�,Paragominas,Nova Esperan�a do Piri�,Garraf�o do Norte",PA,279897.700000000011642,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DO BAIXO TOCANTINS,N�o,30202001906,COORDENACAO REGIONAL DO BAIXO TOCANTINS,CR-BTO,t,12/06/2023,"0",850875/2011,"850875","2011",5629.68000000,{5495F5CD-3446-46C5-8D7F-70C0B3566723},AUTORIZAÇÃO DE PESQUISA,662 - NOTIFICAÇÃO ADM PGTO DÉBITO MULTA PUBL EM 06/11/2017,RIVERBANK RESOURCES MINERACAO LTDA,MINÉRIO DE OURO,Industrial,PA,850.875/2011
9,"1001",Alto Rio Guam�,"Timbira,Temb�","Santa Luzia do Par�,Paragominas,Nova Esperan�a do Piri�,Garraf�o do Norte",PA,279897.700000000011642,Regularizada,Tradicionalmente ocupada,,COORDENACAO REGIONAL DO BAIXO TOCANTINS,N�o,30202001906,COORDENACAO REGIONAL DO BAIXO TOCANTINS,CR-BTO,t,12/06/2023,"0",853817/1996,"853817","1996",62.22000000,{81AD8E55-00BA-4E83-B630-5ADE9C381180},REQUERIMENTO DE PESQUISA,157 - REQ PESQ/DESISTÊNCIA REQUERIMENTO PESQUISA HOMOLOGADA PUBL EM 01/09/2022,MINERACAO SILVANA INDUSTRIA E COMERCIO LTDA,MINÉRIO DE OURO,Demais substâncias,PA,853.817/1996
